id,store_id,platform,check_date,out_of_stock_skus,total_skus_checked,out_of_stock_count,compliance_percentage,checked_by,checked_at,notes
16,3,grabfood,2025-09-20,['GB062', 'GB074'],95,2,97.89,arthurpolicarpio@gmail.com,2025-09-20 10:04:29.696570,
17,72,foodpanda,2025-09-21,[],116,0,100.00,arthurpolicarpio@gmail.com,2025-09-21 12:40:24.805856,
1770,42,grabfood,2025-10-09,['GB008', 'GB069', 'GD052'],95,3,96.84,automated_scraper,2025-10-09 02:15:13.536723,
19,1,grabfood,2025-09-21,['GB071', 'GB110', 'GB112', 'GB107', 'GB069', 'GB062', 'GB105', 'GD113', 'GB109', 'GB004', 'GB008', 'GB074', 'GB070', 'GB088', 'GB034', 'GB061', 'GB006'],95,17,82.11,arthurpolicarpio@gmail.com,2025-09-21 13:55:18.403033,
20,70,foodpanda,2025-09-21,[],116,0,100.00,arthurpolicarpio@gmail.com,2025-09-21 13:55:50.224456,
21,1,grabfood,2025-09-22,[],95,0,100.00,arthurpolicarpio@gmail.com,2025-09-22 03:08:08.972457,
22,70,foodpanda,2025-09-22,[],116,0,100.00,arthurpolicarpio@gmail.com,2025-09-22 03:47:02.239484,
1771,43,grabfood,2025-10-09,[],95,0,100.00,automated_scraper,2025-10-09 02:15:35.491883,
1772,44,grabfood,2025-10-09,['GP007', 'GP008', 'GP009', 'GP010'],95,4,95.79,automated_scraper,2025-10-09 02:15:55.881247,
25,72,foodpanda,2025-09-22,[],116,0,100.00,arthurpolicarpio@gmail.com,2025-09-22 07:29:08.754761,
1773,45,grabfood,2025-10-09,[],95,0,100.00,automated_scraper,2025-10-09 02:16:17.679658,
27,74,foodpanda,2025-09-22,[],116,0,100.00,arthurpolicarpio@gmail.com,2025-09-22 07:33:16.250534,
28,75,foodpanda,2025-09-22,[],116,0,100.00,arthurpolicarpio@gmail.com,2025-09-22 07:34:03.531347,
29,76,foodpanda,2025-09-22,[],116,0,100.00,arthurpolicarpio@gmail.com,2025-09-22 07:36:22.870187,
30,2,grabfood,2025-09-22,['GB107', 'GB099'],95,2,97.89,arthurpolicarpio@gmail.com,2025-09-22 07:38:40.643481,
31,3,grabfood,2025-09-22,['GB102'],95,1,98.95,arthurpolicarpio@gmail.com,2025-09-22 07:40:01.964928,
32,4,grabfood,2025-09-22,['GB070', 'GB102', 'GB103', 'GB096'],95,4,95.79,arthurpolicarpio@gmail.com,2025-09-22 07:42:51.560488,
91,12,grabfood,2025-09-23,['GB104', 'GB097'],95,2,97.89,dinaerispe@gmail.com,2025-09-23 06:08:50.735140,
35,9,grabfood,2025-09-23,[],95,0,100.00,dinaerispe@gmail.com,2025-09-23 00:23:01.185327,
36,35,grabfood,2025-09-23,[],95,0,100.00,dinaerispe@gmail.com,2025-09-23 00:24:33.868636,
37,17,grabfood,2025-09-23,[],95,0,100.00,dinaerispe@gmail.com,2025-09-23 00:37:40.729442,
38,13,grabfood,2025-09-23,[],95,0,100.00,dinaerispe@gmail.com,2025-09-23 00:39:05.341985,
39,50,grabfood,2025-09-23,['GP002', 'GD028', 'GD029', 'GD049', 'GP005', 'GD048', 'GD113', 'GP001', 'GD130', 'GP006'],95,10,89.47,dinaerispe@gmail.com,2025-09-23 00:46:21.691597,
1774,46,grabfood,2025-10-09,['GB102'],95,1,98.95,automated_scraper,2025-10-09 02:16:38.109894,
41,53,grabfood,2025-09-23,['GP008', 'GP007', 'GB112', 'GP010', 'GP009'],95,5,94.74,dinaerispe@gmail.com,2025-09-23 01:19:38.060196,
42,38,grabfood,2025-09-23,[],95,0,100.00,dinaerispe@gmail.com,2025-09-23 01:21:52.738823,
43,2,grabfood,2025-09-23,['GP002', 'GD028', 'GD087', 'GD029', 'GP005', 'GD048', 'GD113', 'GP003', 'GP001', 'GD130', 'GP006'],95,11,88.42,dinaerispe@gmail.com,2025-09-23 01:27:11.640686,
44,30,grabfood,2025-09-23,[],95,0,100.00,dinaerispe@gmail.com,2025-09-23 01:30:08.502548,
46,55,grabfood,2025-09-23,['GB102'],95,1,98.95,dinaerispe@gmail.com,2025-09-23 01:34:32.975930,
47,7,grabfood,2025-09-23,['GP008', 'GP010'],95,2,97.89,dinaerispe@gmail.com,2025-09-23 01:36:34.729646,
48,28,grabfood,2025-09-23,[],95,0,100.00,dinaerispe@gmail.com,2025-09-23 01:48:15.190090,
50,24,grabfood,2025-09-23,['GP008', 'GB088', 'GP007', 'GD113', 'GP010', 'GB107', 'GP009', 'GD130'],95,8,91.58,dinaerispe@gmail.com,2025-09-23 02:06:32.748707,
33,25,grabfood,2025-09-23,['GB104', 'GB006'],95,2,97.89,dinaerispe@gmail.com,2025-09-23 03:36:26.478941,
90,32,grabfood,2025-09-23,[],95,0,100.00,dinaerispe@gmail.com,2025-09-23 06:05:59.319384,
92,29,grabfood,2025-09-23,[],95,0,100.00,dinaerispe@gmail.com,2025-09-23 06:09:51.618751,
93,59,grabfood,2025-09-23,['GB107'],95,1,98.95,dinaerispe@gmail.com,2025-09-23 06:11:21.075563,
94,60,grabfood,2025-09-23,['GD057'],95,1,98.95,dinaerispe@gmail.com,2025-09-23 06:12:56.543547,
95,27,grabfood,2025-09-23,['GP006', 'GD048', 'GD029', 'GB103', 'GP004', 'GD113', 'GP001', 'GD028', 'GP002', 'GP005', 'GB061', 'GB105', 'GD130', 'GD049', 'GP003'],95,15,84.21,dinaerispe@gmail.com,2025-09-23 06:18:05.658282,
96,20,grabfood,2025-09-23,[],95,0,100.00,dinaerispe@gmail.com,2025-09-23 06:19:57.382052,
51,41,grabfood,2025-09-23,['GD057', 'GD008', 'GP001', 'GD088', 'GD052', 'GD085', 'GD113', 'GD093', 'GD070', 'GP003', 'GD117', 'GD067', 'GD005', 'GD080', 'GP005', 'GB070', 'GD081', 'GB109', 'GD106', 'GD007', 'GD060', 'GB105', 'GB111', 'GD003', 'GB073', 'GD084', 'GB074', 'GD041', 'GB062', 'GP008', 'GD049', 'GD059', 'GB034', 'GB004', 'GD068', 'GD009', 'GD105', 'GB104', 'GD069', 'GD087', 'GP007', 'GP010', 'GB001', 'GB008', 'GD130', 'GB102', 'GD083', 'GD089', 'GB099', 'GB071', 'GB095', 'GD115', 'GD048', 'GD051', 'GB096', 'GD004', 'GB006', 'GD034', 'GD036', 'GB103', 'GD118', 'GB107', 'GD086', 'GP004', 'GD092', 'GB088', 'GD028', 'GB069', 'GD104', 'GD090', 'GD107', 'GB106', 'GB097', 'GP009', 'GD046', 'GP006', 'GD044', 'GB061', 'GB112', 'GD037', 'GD114', 'GD035', 'GD058', 'GD047', 'GD053', 'GD082', 'GP002', 'GB028', 'GD029', 'GD119', 'GD033', 'GD039', 'GD050', 'GD043', 'GB110'],95,95,0.00,dinaerispe@gmail.com,2025-09-23 02:12:45.452206,
52,45,grabfood,2025-09-23,['GP002', 'GD028', 'GD029', 'GD049', 'GP005', 'GD048', 'GD113', 'GP003', 'GB097', 'GP001', 'GD130', 'GP006'],95,12,87.37,dinaerispe@gmail.com,2025-09-23 02:18:28.159188,
53,31,grabfood,2025-09-23,[],95,0,100.00,dinaerispe@gmail.com,2025-09-23 02:20:10.513475,
1775,185,grabfood,2025-10-09,[],95,0,100.00,automated_scraper,2025-10-09 02:16:59.112764,
55,63,grabfood,2025-09-23,['GD009', 'GD005'],95,2,97.89,dinaerispe@gmail.com,2025-09-23 02:24:43.515251,
56,8,grabfood,2025-09-23,['GP002', 'GD028', 'GD029', 'GP005', 'GP001', 'GP003', 'GP006', 'GP004'],95,8,91.58,dinaerispe@gmail.com,2025-09-23 02:29:30.329696,
57,23,grabfood,2025-09-23,['GB104'],95,1,98.95,dinaerispe@gmail.com,2025-09-23 02:31:29.516875,
1776,48,grabfood,2025-10-09,['GB001', 'GB004', 'GB061', 'GB062', 'GB069', 'GB074', 'GB088', 'GB099', 'GB102', 'GB105', 'GB106', 'GB107', 'GB110', 'GD057', 'GP007', 'GP008', 'GP009', 'GP010'],95,18,81.05,automated_scraper,2025-10-09 02:17:19.643410,
59,42,grabfood,2025-09-23,['GP002', 'GD028', 'GD029', 'GD049', 'GP005', 'GD048', 'GD113', 'GB102', 'GP003', 'GB008', 'GP001', 'GD130', 'GP006'],95,13,86.32,dinaerispe@gmail.com,2025-09-23 02:40:45.029480,
60,10,grabfood,2025-09-23,['GB099', 'GB001', 'GB004', 'GB102'],95,4,95.79,dinaerispe@gmail.com,2025-09-23 02:43:01.156089,
61,37,grabfood,2025-09-23,[],95,0,100.00,dinaerispe@gmail.com,2025-09-23 02:44:21.420610,
62,4,grabfood,2025-09-23,[],95,0,100.00,dinaerispe@gmail.com,2025-09-23 02:45:57.441579,
63,34,grabfood,2025-09-23,[],95,0,100.00,dinaerispe@gmail.com,2025-09-23 02:46:28.051860,
64,26,grabfood,2025-09-23,['GB099'],95,1,98.95,dinaerispe@gmail.com,2025-09-23 02:48:35.032793,
65,19,grabfood,2025-09-23,['GB099'],95,1,98.95,dinaerispe@gmail.com,2025-09-23 02:49:54.779757,
66,21,grabfood,2025-09-23,['GB099'],95,1,98.95,dinaerispe@gmail.com,2025-09-23 02:53:03.929392,
67,44,grabfood,2025-09-23,['GB105', 'GB106', 'GP010', 'GP009', 'GB073', 'GP001', 'GD130', 'GP006', 'GB102', 'GB071', 'GD048', 'GD113', 'GB062', 'GP003', 'GB006', 'GD049', 'GB107', 'GB004', 'GP002', 'GD028', 'GB028', 'GD029', 'GP005', 'GB070', 'GB110'],95,25,73.68,dinaerispe@gmail.com,2025-09-23 03:03:57.190507,
68,66,grabfood,2025-09-23,[],95,0,100.00,dinaerispe@gmail.com,2025-09-23 03:08:41.682124,
69,40,grabfood,2025-09-23,['GP002', 'GD028', 'GD029', 'GD049', 'GP005', 'GD048', 'GD113', 'GP001', 'GD130', 'GP006', 'GP004'],95,11,88.42,dinaerispe@gmail.com,2025-09-23 03:12:12.221454,
70,52,grabfood,2025-09-23,['GP007', 'GB105', 'GP010', 'GB001', 'GB097', 'GP009', 'GB008', 'GP001', 'GD130', 'GP006', 'GB102', 'GB099', 'GB061', 'GB112', 'GD048', 'GD113', 'GB074', 'GB062', 'GP003', 'GP008', 'GB006', 'GD049', 'GP004', 'GP002', 'GD028', 'GD029', 'GP005'],95,27,71.58,dinaerispe@gmail.com,2025-09-23 03:22:50.491704,
71,6,grabfood,2025-09-23,['GP005', 'GB106', 'GB001', 'GB034', 'GP009', 'GP001', 'GP006'],95,7,92.63,dinaerispe@gmail.com,2025-09-23 03:26:20.782503,
72,14,grabfood,2025-09-23,['GP008', 'GB006', 'GP007', 'GP010', 'GB001', 'GB111', 'GP009', 'GB008', 'GB004'],95,9,90.53,dinaerispe@gmail.com,2025-09-23 03:29:43.460897,
74,16,grabfood,2025-09-23,['GB008', 'GB034', 'GB006'],95,3,96.84,dinaerispe@gmail.com,2025-09-23 03:32:57.266068,
76,58,grabfood,2025-09-23,['GD130', 'GD049', 'GP003', 'GP006', 'GD048', 'GP005', 'GD029', 'GP001', 'GD113', 'GP002', 'GD028'],95,11,88.42,dinaerispe@gmail.com,2025-09-23 03:39:59.844748,
77,18,grabfood,2025-09-23,['GB104', 'GP006', 'GD029', 'GD113', 'GP002', 'GD028', 'GD049', 'GP005', 'GD130', 'GD048', 'GP003'],95,11,88.42,dinaerispe@gmail.com,2025-09-23 03:44:35.081790,
79,33,grabfood,2025-09-23,[],95,0,100.00,dinaerispe@gmail.com,2025-09-23 03:47:18.989940,
80,51,grabfood,2025-09-23,['GB034', 'GB062'],95,2,97.89,dinaerispe@gmail.com,2025-09-23 03:49:27.727086,
81,67,grabfood,2025-09-23,['GB069', 'GB097', 'GB008', 'GB099'],95,4,95.79,dinaerispe@gmail.com,2025-09-23 04:02:54.409648,
82,5,grabfood,2025-09-23,['GB102'],95,1,98.95,dinaerispe@gmail.com,2025-09-23 04:05:04.264066,
83,43,grabfood,2025-09-23,['GD058', 'GD130', 'GP006', 'GD117', 'GD009', 'GD029', 'GD008', 'GB099', 'GD043', 'GD113', 'GP001', 'GD028', 'GD057', 'GD069', 'GD005', 'GD004', 'GP003', 'GD067', 'GP002', 'GP005'],95,20,78.95,dinaerispe@gmail.com,2025-09-23 05:35:40.759087,
84,48,grabfood,2025-09-23,['GD057'],95,1,98.95,dinaerispe@gmail.com,2025-09-23 05:37:11.919074,
85,1,grabfood,2025-09-23,[],95,0,100.00,dinaerispe@gmail.com,2025-09-23 05:57:53.992287,
86,62,grabfood,2025-09-23,[],95,0,100.00,dinaerispe@gmail.com,2025-09-23 06:00:26.569115,
87,46,grabfood,2025-09-23,['GB004', 'GB107'],95,2,97.89,dinaerispe@gmail.com,2025-09-23 06:01:55.133969,
88,22,grabfood,2025-09-23,[],95,0,100.00,dinaerispe@gmail.com,2025-09-23 06:03:06.240355,
89,36,grabfood,2025-09-23,['GB102'],95,1,98.95,dinaerispe@gmail.com,2025-09-23 06:04:44.084609,
97,15,grabfood,2025-09-23,['GD005', 'GD009'],95,2,97.89,dinaerispe@gmail.com,2025-09-23 06:22:29.845645,
98,64,grabfood,2025-09-23,[],95,0,100.00,dinaerispe@gmail.com,2025-09-23 06:23:15.427732,
99,65,grabfood,2025-09-23,[],95,0,100.00,dinaerispe@gmail.com,2025-09-23 06:24:08.625622,
100,11,grabfood,2025-09-23,[],95,0,100.00,dinaerispe@gmail.com,2025-09-23 06:25:56.713255,
101,39,grabfood,2025-09-23,[],95,0,100.00,dinaerispe@gmail.com,2025-09-23 06:27:03.096499,
1777,187,grabfood,2025-10-09,['GB102'],95,1,98.95,automated_scraper,2025-10-09 02:17:41.001610,
1778,50,grabfood,2025-10-09,['GB099', 'GB102'],95,2,97.89,automated_scraper,2025-10-09 02:18:02.608623,
1779,51,grabfood,2025-10-09,['GB001', 'GB034'],95,2,97.89,automated_scraper,2025-10-09 02:18:24.114487,
1780,52,grabfood,2025-10-09,['GB006', 'GB008', 'GB097', 'GB102', 'GB107', 'GB112', 'GP007', 'GP008', 'GP009', 'GP010'],95,10,89.47,automated_scraper,2025-10-09 02:18:44.805211,
111,39,grabfood,2025-09-24,[],95,0,100.00,automated_scraper,2025-09-24 22:11:19.583940,
103,1,grabfood,2025-09-24,[],95,0,100.00,automated_scraper,2025-09-24 22:11:45.807864,
105,3,grabfood,2025-09-24,['GB062', 'GB104', 'GB074', 'GB102', 'GB099'],95,5,94.74,automated_scraper,2025-09-24 22:12:36.717810,
119,4,grabfood,2025-09-24,['GB062', 'GB107', 'GB006', 'GB008', 'GB104', 'GB102'],95,6,93.68,automated_scraper,2025-09-24 22:13:03.250195,
120,5,grabfood,2025-09-24,[],95,0,100.00,automated_scraper,2025-09-24 22:13:29.410881,
121,6,grabfood,2025-09-24,['GB004', 'GB006', 'GB071'],95,3,96.84,automated_scraper,2025-09-24 22:13:55.478048,
1781,53,grabfood,2025-10-09,['GB006', 'GD117', 'GP007', 'GP009', 'GP010'],95,5,94.74,automated_scraper,2025-10-09 02:19:05.651022,
1927,192,grabfood,2025-10-11,[],95,0,100.00,automated_scraper,2025-10-11 02:21:26.538664,
122,7,grabfood,2025-09-24,[],95,0,100.00,automated_scraper,2025-09-24 22:14:22.905767,
123,8,grabfood,2025-09-24,['GB062'],95,1,98.95,automated_scraper,2025-09-24 22:14:49.222443,
124,9,grabfood,2025-09-24,[],95,0,100.00,automated_scraper,2025-09-24 22:15:15.275341,
125,10,grabfood,2025-09-24,['GB102', 'GB071'],95,2,97.89,automated_scraper,2025-09-24 22:15:40.369653,
126,11,grabfood,2025-09-24,[],95,0,100.00,automated_scraper,2025-09-24 22:15:47.039794,
127,12,grabfood,2025-09-24,['GB062'],95,1,98.95,automated_scraper,2025-09-24 22:16:10.436952,
128,13,grabfood,2025-09-24,[],95,0,100.00,automated_scraper,2025-09-24 22:16:35.188563,
129,14,grabfood,2025-09-24,[],95,0,100.00,automated_scraper,2025-09-24 22:16:59.718299,
131,16,grabfood,2025-09-24,['GB062', 'GB107', 'GP001', 'GP002', 'GP003', 'GP004', 'GB074', 'GB061', 'GB034', 'GB105', 'GB106', 'GB102', 'GB088', 'GB112', 'GB004', 'GB006', 'GB008', 'GB104'],95,18,81.05,automated_scraper,2025-09-24 22:17:49.530491,
133,18,grabfood,2025-09-24,[],95,0,100.00,automated_scraper,2025-09-24 22:18:44.196318,
110,85,grabfood,2025-09-24,[],95,0,100.00,automated_scraper,2025-09-24 22:10:52.096687,
135,20,grabfood,2025-09-24,[],95,0,100.00,automated_scraper,2025-09-24 22:19:39.091226,
136,21,grabfood,2025-09-24,[],95,0,100.00,automated_scraper,2025-09-24 22:20:05.240785,
137,22,grabfood,2025-09-24,['GB001', 'GB004', 'GB006'],95,3,96.84,automated_scraper,2025-09-24 22:20:31.120080,
138,23,grabfood,2025-09-24,[],95,0,100.00,automated_scraper,2025-09-24 22:20:57.894588,
139,24,grabfood,2025-09-24,[],95,0,100.00,automated_scraper,2025-09-24 22:21:23.792369,
140,25,grabfood,2025-09-24,[],95,0,100.00,automated_scraper,2025-09-24 22:21:50.539640,
141,26,grabfood,2025-09-24,['GB110', 'GB001', 'GB006', 'GB096', 'GB034', 'GB088'],95,6,93.68,automated_scraper,2025-09-24 22:22:14.159212,
142,27,grabfood,2025-09-24,['GB062', 'GB110', 'GB001', 'GB107', 'GP001', 'GP002', 'GP003', 'GP004', 'GB004', 'GB006', 'GB008', 'GP007', 'GB028', 'GB069', 'GB103', 'GB096', 'GB074', 'GB061', 'GB034', 'GB073', 'GB105', 'GB106', 'GB102', 'GB095', 'GB070', 'GB071', 'GB088', 'GB109', 'GB112'],95,29,69.47,automated_scraper,2025-09-24 22:22:41.946286,
143,28,grabfood,2025-09-24,[],95,0,100.00,automated_scraper,2025-09-24 22:23:06.558549,
144,29,grabfood,2025-09-24,['GB001', 'GP001', 'GP002', 'GB004', 'GB104', 'GB034', 'GB095', 'GB070', 'GB071', 'GB088', 'GB112', 'GB099'],95,12,87.37,automated_scraper,2025-09-24 22:23:32.564089,
145,30,grabfood,2025-09-24,[],95,0,100.00,automated_scraper,2025-09-24 22:23:39.546977,
146,31,grabfood,2025-09-24,['GB001', 'GB006', 'GB008', 'GB073'],95,4,95.79,automated_scraper,2025-09-24 22:24:08.373948,
147,32,grabfood,2025-09-24,[],95,0,100.00,automated_scraper,2025-09-24 22:24:31.045116,
148,33,grabfood,2025-09-24,[],95,0,100.00,automated_scraper,2025-09-24 22:24:57.877271,
149,34,grabfood,2025-09-24,[],95,0,100.00,automated_scraper,2025-09-24 22:25:24.015430,
150,35,grabfood,2025-09-24,['GD028', 'GP001', 'GP002', 'GP003', 'GP005', 'GP006', 'GD048', 'GB099'],95,8,91.58,automated_scraper,2025-09-24 22:25:50.747005,
151,36,grabfood,2025-09-24,[],95,0,100.00,automated_scraper,2025-09-24 22:26:15.541966,
152,37,grabfood,2025-09-24,[],95,0,100.00,automated_scraper,2025-09-24 22:26:41.928843,
153,38,grabfood,2025-09-24,[],95,0,100.00,automated_scraper,2025-09-24 22:27:07.712307,
154,40,grabfood,2025-09-24,[],95,0,100.00,automated_scraper,2025-09-24 22:27:31.788548,
156,42,grabfood,2025-09-24,[],95,0,100.00,automated_scraper,2025-09-24 22:28:23.843828,
157,43,grabfood,2025-09-24,['GD130', 'GD028'],95,2,97.89,automated_scraper,2025-09-24 22:28:49.126789,
158,44,grabfood,2025-09-24,[],95,0,100.00,automated_scraper,2025-09-24 22:29:14.132377,
102,161,grabfood,2025-09-23,[],95,0,100.00,dinaerispe@gmail.com,2025-09-23 06:28:29.773500,
130,15,grabfood,2025-09-24,[],95,0,100.00,automated_scraper,2025-09-24 22:17:25.177481,
1782,154,grabfood,2025-10-09,['GB061', 'GB074', 'GB099', 'GB102'],95,4,95.79,automated_scraper,2025-10-09 02:19:28.039044,
1783,55,grabfood,2025-10-09,['GB103'],95,1,98.95,automated_scraper,2025-10-09 02:19:48.008997,
1784,156,grabfood,2025-10-09,['GD005', 'GP007', 'GP008'],95,3,96.84,automated_scraper,2025-10-09 02:20:09.818308,
1785,157,grabfood,2025-10-09,['GB006', 'GB069', 'GB102'],95,3,96.84,automated_scraper,2025-10-09 02:20:29.765358,
1786,58,grabfood,2025-10-09,['GB001', 'GB004', 'GB006'],95,3,96.84,automated_scraper,2025-10-09 02:20:48.659835,
1787,59,grabfood,2025-10-09,[],95,0,100.00,automated_scraper,2025-10-09 02:21:10.803652,
174,60,grabfood,2025-09-24,[],95,0,100.00,automated_scraper,2025-09-24 22:32:09.755648,
176,62,grabfood,2025-09-24,[],95,0,100.00,automated_scraper,2025-09-24 22:32:41.668381,
177,63,grabfood,2025-09-24,['GD005'],95,1,98.95,automated_scraper,2025-09-24 22:33:07.342397,
178,64,grabfood,2025-09-24,['GP001', 'GP002', 'GP003', 'GP004', 'GB106'],95,5,94.74,automated_scraper,2025-09-24 22:33:35.223797,
179,65,grabfood,2025-09-24,[],95,0,100.00,automated_scraper,2025-09-24 22:34:02.095500,
180,66,grabfood,2025-09-24,['GB107'],95,1,98.95,automated_scraper,2025-09-24 22:34:28.096482,
320,67,grabfood,2025-09-25,[],95,0,100.00,automated_scraper,2025-09-25 02:00:00.015068,
322,39,grabfood,2025-09-25,[],95,0,100.00,automated_scraper,2025-09-25 02:00:33.126367,
323,1,grabfood,2025-09-25,[],95,0,100.00,automated_scraper,2025-09-25 02:00:58.004478,
324,2,grabfood,2025-09-25,['GB099'],95,1,98.95,automated_scraper,2025-09-25 02:01:24.827221,
325,3,grabfood,2025-09-25,['GB062', 'GB104', 'GB069'],95,3,96.84,automated_scraper,2025-09-25 02:01:51.409588,
326,4,grabfood,2025-09-25,['GB008', 'GB104'],95,2,97.89,automated_scraper,2025-09-25 02:02:18.717874,
334,12,grabfood,2025-09-25,[],95,0,100.00,automated_scraper,2025-09-25 02:05:24.272469,
335,13,grabfood,2025-09-25,[],95,0,100.00,automated_scraper,2025-09-25 02:05:50.454922,
336,14,grabfood,2025-09-25,['GB102'],95,1,98.95,automated_scraper,2025-09-25 02:06:18.405615,
337,15,grabfood,2025-09-25,[],95,0,100.00,automated_scraper,2025-09-25 02:06:46.707379,
338,16,grabfood,2025-09-25,['GB074', 'GB061', 'GB034', 'GB105', 'GB106', 'GB102', 'GB088', 'GB112'],95,8,91.58,automated_scraper,2025-09-25 02:07:12.295176,
340,18,grabfood,2025-09-25,[],95,0,100.00,automated_scraper,2025-09-25 02:08:01.868309,
109,67,grabfood,2025-09-24,[],95,0,100.00,automated_scraper,2025-09-24 22:10:46.599654,
104,2,grabfood,2025-09-24,['GB110', 'GB001', 'GB107', 'GP001', 'GP002', 'GP003', 'GP004', 'GB004', 'GB006', 'GB008', 'GB069', 'GB096', 'GB061', 'GB034', 'GB073', 'GB105', 'GB102', 'GB095', 'GB070', 'GB071', 'GB088', 'GB112', 'GB099'],95,23,75.79,automated_scraper,2025-09-24 22:12:11.642079,
321,85,grabfood,2025-09-25,[],95,0,100.00,automated_scraper,2025-09-25 02:00:05.888742,
132,17,grabfood,2025-09-24,['GD003', 'GD048', 'GD104', 'GD028', 'GD067', 'GD004', 'GD069', 'GD052', 'GD043', 'GD044', 'GD033', 'GD057', 'GD130'],95,13,86.32,automated_scraper,2025-09-24 22:18:16.609468,
159,45,grabfood,2025-09-24,['GB110', 'GB004', 'GB008', 'GB105', 'GB106', 'GB102'],95,6,93.68,automated_scraper,2025-09-24 22:29:40.048836,
160,46,grabfood,2025-09-24,[],95,0,100.00,automated_scraper,2025-09-24 22:30:05.559211,
162,48,grabfood,2025-09-24,[],95,0,100.00,automated_scraper,2025-09-24 22:30:17.085601,
164,50,grabfood,2025-09-24,[],95,0,100.00,automated_scraper,2025-09-24 22:30:29.343532,
165,51,grabfood,2025-09-24,[],95,0,100.00,automated_scraper,2025-09-24 22:30:55.291107,
166,52,grabfood,2025-09-24,[],95,0,100.00,automated_scraper,2025-09-24 22:31:02.264911,
167,53,grabfood,2025-09-24,[],95,0,100.00,automated_scraper,2025-09-24 22:31:07.672820,
169,55,grabfood,2025-09-24,[],95,0,100.00,automated_scraper,2025-09-24 22:31:18.615393,
172,58,grabfood,2025-09-24,[],95,0,100.00,automated_scraper,2025-09-24 22:31:38.177666,
173,59,grabfood,2025-09-24,[],95,0,100.00,automated_scraper,2025-09-24 22:31:44.369808,
327,5,grabfood,2025-09-25,[],95,0,100.00,automated_scraper,2025-09-25 02:02:44.402651,
328,6,grabfood,2025-09-25,['GB004', 'GB006', 'GB071'],95,3,96.84,automated_scraper,2025-09-25 02:03:10.993552,
329,7,grabfood,2025-09-25,[],95,0,100.00,automated_scraper,2025-09-25 02:03:35.744504,
330,8,grabfood,2025-09-25,['GB062'],95,1,98.95,automated_scraper,2025-09-25 02:04:00.355322,
331,9,grabfood,2025-09-25,[],95,0,100.00,automated_scraper,2025-09-25 02:04:26.848299,
332,10,grabfood,2025-09-25,['GB102', 'GB071'],95,2,97.89,automated_scraper,2025-09-25 02:04:52.820069,
333,11,grabfood,2025-09-25,[],95,0,100.00,automated_scraper,2025-09-25 02:04:58.419232,
342,20,grabfood,2025-09-25,[],95,0,100.00,automated_scraper,2025-09-25 02:08:57.541593,
343,21,grabfood,2025-09-25,[],95,0,100.00,automated_scraper,2025-09-25 02:09:24.910157,
344,22,grabfood,2025-09-25,[],95,0,100.00,automated_scraper,2025-09-25 02:09:51.073754,
339,17,grabfood,2025-09-25,['GD003', 'GD048', 'GD104', 'GD028', 'GD067', 'GD004', 'GD069', 'GD052', 'GD043', 'GD044', 'GD033', 'GD057', 'GD130'],95,13,86.32,automated_scraper,2025-09-25 02:07:38.263416,
181,161,grabfood,2025-09-24,[],95,0,100.00,automated_scraper,2025-09-24 22:34:34.894978,
161,120,grabfood,2025-09-24,[],95,0,100.00,automated_scraper,2025-09-24 22:30:10.796407,
163,124,grabfood,2025-09-24,[],95,0,100.00,automated_scraper,2025-09-24 22:30:22.757359,
